"Status","Date","Description","Debit","Credit"
"Cleared","04/23/2017","KK #1057               AUSTIN        TX 
","7.14",""
"Cleared","04/22/2017","LOWES #00590*          AUSTIN        TX 
","4.16",""
"Cleared","04/22/2017","CHICK-FIL-A #0676      AUSTIN        TX 
","6.66",""
"Cleared","04/22/2017","SoundCloud Inc         San Francisco CA 
","9.99",""
"Cleared","04/22/2017","TARGET        00017970 AUSTIN        TX 
","56.35",""
"Cleared","04/22/2017","THE HOME DEPOT #0509   AUSTIN        TX 
","171.19",""
"Cleared","04/21/2017","KOLACHE FACTORY #35    AUSTIN        TX 
","5.90",""
"Cleared","04/19/2017","TWC*TIME WARNER CABLE  888-TWCABLE   TX 
","73.19",""
"Cleared","04/18/2017","THE HOME DEPOT #0509   AUSTIN        TX 
","","32.44"
"Cleared","04/18/2017","KOLACHE FACTORY #35    AUSTIN        TX 
","5.10",""
"Cleared","04/18/2017","JINYA RAMEN BAR        AUSTIN        TX 
","18.16",""
"Cleared","04/18/2017","THE HOME DEPOT #0509   AUSTIN        TX 
","81.60",""
"Cleared","04/17/2017","VZWRLSS*APOCC VISE     800-922-0204  FL 
","150.60",""
"Cleared","04/17/2017","KFC Y343100   13431002 AUSTIN        TX 
","7.03",""
"Cleared","04/16/2017","AUTOPAY 999990000055374RAUTOPAY AUTO-PMT
","","3,648.72"
"Cleared","04/16/2017","CHEWY.COM              800-6724399   FL 
","71.72",""
"Cleared","04/16/2017","GATEWAY CHURCH         512-837-2162  TX 
","100.00",""
"Cleared","04/15/2017","CHEWY.COM              800-6724399   FL 
","","5.88"
"Cleared","04/15/2017","CHICK-FIL-A #0676      AUSTIN        TX 
","6.33",""
"Cleared","04/15/2017","PETSMART # 0192        CEDAR PARK    TX 
","32.99",""
"Cleared","04/15/2017","THE HOME DEPOT #0509   AUSTIN        TX 
","49.30",""
"Cleared","04/13/2017","GREATER AUSTIN ALLERGY 855-347-3685  TX 
","22.60",""
"Cleared","04/13/2017","KOLACHE FACTORY #35    AUSTIN        TX 
","5.90",""
"Cleared","04/13/2017","BIRDS BARBERSHOP DOMAI AUSTIN        TX 
","30.00",""
"Cleared","04/13/2017","NORTH AUSTIN           AUSTIN        TX 
","19.78",""
"Cleared","04/12/2017","THE HOME DEPOT #0509   AUSTIN        TX 
","","14.84"
"Cleared","04/12/2017","JC ELECTRICAL SERVICES ROUND ROCK    TX 
","375.00",""
"Cleared","04/12/2017","COA PARKING METERS     AUSTIN        TX 
","1.00",""
"Cleared","04/12/2017","P TERRY'S BURGER STAND AUSTIN        TX 
","7.96",""
"Cleared","04/11/2017","THE HOME DEPOT #0509   AUSTIN        TX 
","","12.73"
"Cleared","04/11/2017","USPS PO 4804200180     AUSTIN        TX 
","3.61",""
"Cleared","04/11/2017","UDEMY.COM              8888385432    CA 
","10.00",""
"Cleared","04/11/2017","ABEL'S NORTH           AUSTIN        TX 
","10.12",""
"Cleared","04/10/2017","CHICK-FIL-A #0537      AUSTIN        TX 
","6.33",""
"Cleared","04/09/2017","WHATABURGER 907    Q26 AUSTIN        TX 
","4.97",""
"Cleared","04/09/2017","WALGREENS #11853       AUSTIN        TX 
","11.78",""
"Cleared","04/09/2017","TARGET        00017970 AUSTIN        TX 
","34.39",""
"Cleared","04/09/2017","CHEWY.COM              800-6724399   FL 
","73.13",""
"Cleared","04/09/2017","THE HOME DEPOT #0509   AUSTIN        TX 
","21.44",""
"Cleared","04/09/2017","THE HOME DEPOT #0509   AUSTIN        TX 
","38.78",""
"Cleared","04/09/2017","THE HOME DEPOT #0509   AUSTIN        TX 
","38.78",""
"Cleared","04/08/2017","RAIN BIRD ONLINE STORE 06268123463   AZ 
","19.76",""
"Cleared","04/08/2017","ZOOM.US                8887999666    CA 
","16.23",""
"Cleared","04/07/2017","THE HOME DEPOT #0509   AUSTIN        TX 
","","29.10"
"Cleared","04/07/2017","BAMBOO BISTRO          AUSTIN        TX 
","10.04",""
"Cleared","04/07/2017","THE HOME DEPOT #0509   AUSTIN        TX 
","50.00",""
"Cleared","04/06/2017","KOLACHE FACTORY #35    AUSTIN        TX 
","5.90",""
"Cleared","04/05/2017","THE HOME DEPOT #0509   AUSTIN        TX 
","","71.74"
"Cleared","04/05/2017","KOLACHE FACTORY #35    AUSTIN        TX 
","5.90",""
"Cleared","04/02/2017","ADY*SPOTIFY P020DC6B0  HTTPS://WWW.S NY 
","16.08",""
"Cleared","04/02/2017","CHEWY.COM              800-6724399   FL 
","73.13",""
"Cleared","04/02/2017","WHATABURGER 709    Q26 AUSTIN        TX 
","6.96",""
"Cleared","04/01/2017","INTUIT *TURBOTAX       800-446-8848  CA 
","69.28",""
"Cleared","04/01/2017","WHATABURGER 907    Q26 AUSTIN        TX 
","4.97",""
"Cleared","04/01/2017","THE HOME DEPOT #0509   AUSTIN        TX 
","12.13",""
"Cleared","04/01/2017","THE HOME DEPOT #0509   AUSTIN        TX 
","98.42",""
"Cleared","03/31/2017","SUR LA TABLE 152       AUSTIN        TX 
","20.54",""
"Cleared","03/29/2017","YARD HOUSE 83600083667 AUSTIN        TX 
","11.82",""
"Cleared","03/28/2017","KOLACHE FACTORY #35    AUSTIN        TX 
","5.10",""
"Cleared","03/28/2017","CHEWY.COM              800-6724399   FL 
","58.51",""
"Cleared","03/28/2017","SUR LA TABLE DIRECT    08002430852   WA 
","69.00",""
"Cleared","03/28/2017","SUR LA TABLE DIRECT    08002430852   WA 
","69.00",""
"Cleared","03/28/2017","NEST LABS              08554696378   CA 
","376.71",""
